country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
United Kingdom,2011,3.85611244682819,2.06733293431685,-1.53558723369941,,0.5,8.03999996185303,8.03999996185303
United Kingdom,2012,2.57323479654528,1.611883545944,-1.09424558146415,,0.5,7.88000011444092,7.88000011444092
United Kingdom,2013,2.29166666666666,2.23880054182746,-1.70072470785305,,0.5,7.51999998092651,7.51999998092651
United Kingdom,2014,1.45112016293279,1.59036810676083,-1.07329870644328,,0.5,6.1100001335144,6.1100001335144
United Kingdom,2015,0.368046842325369,0.511374817313225,,,,5.30000019073486,5.30000019073486
United Kingdom,2016,1.00841736811403,1.90110663436174,,,,4.80999994277954,4.80999994277954
United Kingdom,2017,2.55775577557754,1.81876640825315,,,,4.32999992370605,4.32999992370605
United Kingdom,2018,2.29283990345939,1.99903489165381,,,,4.0,4.0
United Kingdom,2019,1.73810460086511,2.01510318725352,,,,3.74000000953674,3.74000000953674
United Kingdom,2020,0.98948670377243,5.34767755220014,,,,,4.47200012207031
United Kingdom,2021,2.51837109614205,,,,,,4.52600002288818
United States,1970,5.83825533848253,5.60217016436724,2.18540000839062,,7.91,4.90000009536743,
United States,1971,4.29276668813045,5.06916748805631,0.62260495720725,,5.72333333333333,5.90000009536743,
United States,1972,3.27227824655283,4.32275145745318,0.88722916425152,,5.24833333333333,5.59999990463257,
United States,1973,6.17776006377041,5.47988070323844,2.40973534145284,,8.02166666666667,4.90000009536743,
United States,1974,11.0548048048048,8.99869462646564,1.65106445818912,,10.7983333333333,5.59999990463257,
United States,1975,9.14314686496534,9.26261205760063,-1.28141917096265,,7.8625,8.5,
United States,1976,5.74481263549085,5.50338639985235,1.26689165699568,,6.84,7.69999980926514,
United States,1977,6.50168399472839,6.21336667727508,0.575068852913289,,6.82416666666667,7.09999990463257,
United States,1978,7.63096383885602,7.03383077555833,1.88990329174528,,9.05666666666667,6.09999990463257,
United States,1979,11.2544711292795,8.29655708788701,4.03454769286935,,12.6658333333333,5.80000019073486,
United States,1980,13.5492019749684,9.03307690564108,5.7163904794562,,15.2658333333333,7.09999990463257,
United States,1981,10.3347153402771,9.46214483934116,8.59461978793387,,18.87,7.59999990463257,
United States,1982,6.13142700027494,6.17826749673415,8.17734743775717,,14.8608333333333,9.69999980926514,
United States,1983,3.21243523316063,3.91678718743533,6.6181602274006,,10.7941666666667,9.60000038146973,
United States,1984,4.30053547523427,3.60770540480202,8.14108811911498,,12.0425,7.5,
United States,1985,3.54564415209369,3.1624451696169,6.56332655995495,,9.93333333333333,7.19999980926514,
United States,1986,1.89804772234275,2.01390148483323,6.19386027119665,,8.3325,7.0,
United States,1987,3.66456321751691,2.47281001382842,5.59223790069931,,8.20333333333333,6.19999980926514,
United States,1988,4.07774110744408,3.52742146520499,5.59038219332081,,9.315,5.5,
United States,1989,4.82700303008949,3.92034817535432,6.69068693481143,,10.8733333333333,5.30000019073486,
United States,1990,5.39795643990322,3.74332973847665,6.03974920024778,,10.0091666666667,5.59999990463257,
United States,1991,4.23496396453853,3.38176155337062,4.91534648240575,,8.46333333333333,6.80000019073486,6.80000019073486
United States,1992,3.0288196781497,2.27891032683829,3.88423803806005,,6.25166666666667,7.5,7.5
United States,1993,2.95165696638554,2.37033960111148,3.54561722959168,,6.0,6.90000009536743,6.90000009536743
United States,1994,2.6074415921546,2.13542370696524,4.898309954362,,7.13833333333333,6.11999988555908,6.11999988555908
United States,1995,2.80541968853655,2.09690072576767,6.5939963828891,,8.82916666666667,5.65000009536743,5.65000009536743
United States,1996,2.9312041999344,1.83096786671982,6.32407370913164,,8.27083333333333,5.44999980926514,5.44999980926514
United States,1997,2.33768993730741,1.78816614253974,6.53661498804258,,8.44166666666667,5.0,5.0
United States,1998,1.55227909874362,1.12552039639621,7.1481919123237,,8.35416666666667,4.51000022888184,4.51000022888184
United States,1999,2.18802719697358,1.44380352524929,6.4571348015229,,7.99416666666667,4.21999979019165,4.21999979019165
United States,2000,3.37685727149935,2.23547440584899,6.84484418755139,,9.23333333333333,3.99000000953674,3.99000000953674
United States,2001,2.82617111885402,2.1934253449969,4.62675686396421,,6.92166666666667,4.73000001907349,4.73000001907349
United States,2002,1.58603162650603,1.58176300591224,3.04507118458628,,4.675,5.78000020980835,5.78000020980835
United States,2003,2.27009497336113,1.85709520165997,2.22410112310282,,4.1225,5.98999977111816,5.98999977111816
United States,2004,2.67723669309173,2.6922121263311,1.60458893576253,,4.34,5.53000020980835,5.53000020980835
United States,2005,3.39274684549547,3.11494234781323,2.98135677415587,,6.18916666666667,5.07999992370605,5.07999992370605
United States,2006,3.22594410070407,3.02620464133297,4.78644765750077,,7.9575,4.61999988555908,4.61999988555908
United States,2007,2.85267248150136,2.68627890903008,5.22340584151622,,8.05,4.61999988555908,4.61999988555908
